春秋	左傳
典	矣
其	君
君	之
之	舉
舉	也
内姓	選
選	於
於	親
外姓	選
選	於
於	舊
舉	不
不	失
失	德
賞	不
不	失
失	勞
老	有
有	加惠
旅	有
有	施舍
君子	小人
物	有
有	服章
貴	有
有	常
常	尊
賤	有
有	等
等	威
禮	不
不	逆
逆	矣
德	立
刑	行
政	成
事	時
典	從
禮	順
若之何	敵
敵	之
見	可
可	而
而	進
知	難
難	而
而	退
軍	之
之	善政
善政	也
兼	弱
弱	攻
攻	昧
武	之
之	善經
善經	也
子	姑
姑	整軍
整軍	而
而	經武
經武	乎
猶	有
有	弱
弱	而
而	昧
昧	者
何	必
必	楚
仲虺	有
有	言
言	曰
取	亂
亂	侮
侮	亡
兼	弱
弱	也
汋	曰
於	鑠
鑠	王師
遵	養
養	時
時	晦
耆	昧
昧	也
武	曰
無	競
競	惟
惟	烈
撫	弱
弱	耆
耆	昧
以	務
務	烈
烈	所
可	也
彘子	曰
不	可
晉	所以
所以	霸
師	武
臣	力
力	也
今	失
失	諸侯
不	可
可	謂
謂	力
有	敵
敵	而
而	不
不	從
不	可
可	謂
謂	武
由	我
我	失
失	霸
不	如
如	死
且	成師
成師	以
以	出
聞	敵
敵	强
强	而
而	退
非	夫
夫	也
命	爲
爲	軍帥
而	卒
卒	以
以	非
非	夫
唯	羣
羣	子
子	能
我	弗
弗	爲
爲	也
以	中軍
中軍	佐
佐	濟
知莊子	曰
此	師
師	殆
殆	哉
周易	有
有	之
在	師
師	之
之	臨
師	出
出	以
以	律
否臧	凶
執事	順成
順成	爲
爲	臧
逆	爲
爲	否
衆	散
散	爲
爲	弱
川	壅
壅	爲
爲	澤
有	律
律	以
以	如
如	己
己	也
故	曰
曰	律
否	臧
且	律
律	竭
竭	也
盈	而
而	以
以	竭
夭	且
且	不
不	整
所以	凶
凶	也
不	行
行	之謂
之謂	臨
有	師
師	而
而	不
不	從
臨	孰
孰	甚
甚	焉
此	之謂
之謂	矣
果	遇
必	敗
彘子	尸
尸	之
雖	免
免	而
而	歸
必	有
有	大
大	咎
韓獻子	謂
謂	桓子
桓子	曰
彘子	以
以	偏師
偏師	陷
子	罪
罪	大
大	矣
子	爲
爲	元帥
師	不
不	用命
誰	之
之	罪
罪	也
失	屬
亡	師
爲罪	已
已	重
不	如
如	進
進	也
事	之
之	不
不	捷
惡	有
有	所
所	分
與其	專
專	罪
六	人
人	同
同	之
不	猶
猶	愈
愈	乎
師	遂
遂	濟
楚子	北
北	師
師	次
次	於
於	郔
沈尹	將
將	中軍
子重	將
將	左
子反	將
將	右
將	飲馬
飲馬	於
於	河
河	而
而	歸
聞	晉師
晉師	旣
旣	濟
王	欲
欲	還
嬖人伍參	欲
欲	戰
令尹孫叔敖	弗
弗	欲
昔歲	入
入	陳
今茲	入
入	鄭
不	無
無	事
事	矣
戰	而
而	不
不	捷
參	之
之	肉
肉	其
其	足
足	食
食	乎
參	曰
若	事
事	之
之	捷
孫叔	爲
爲	無
無	謀
謀	矣
不	捷
參	之
之	肉
肉	將
將	在
在	晉軍
可	得
得	食
食	乎
令尹	南
南	轅
反	旆
伍參	言
言	於
於	王
王	曰
晉	之
之	從政
從政	者
者	新
未	能
能	行令
其	佐
佐	先縠
先縠	剛愎
剛愎	不
不	仁
未	肯
肯	用命
其	三
三	帥
帥	者
專	行
行	不
不	獲
聽	而
而	無
無	上
衆	誰
誰	適從
此	行
行	也
晉師	必
必	敗
且	君
君	而
而	逃
逃	臣
若	社稷
社稷	何
王	病
病	之
告	令尹
令尹	改
改	乘轅
乘轅	而
而	北
北	之
次	于
于	管
管	以
以	待
待	之
晉師	在
在	敖
鄗	之
之	間
鄭	皇戌
皇戌	使
使	如
如	晉師
鄭	之
之	從
從	楚
社稷	之
之	故
故	也
未	有
有	貳心
楚師	驟
驟	勝
勝	而
而	驕
其	師
師	老
老	矣
而	不
不	設
設	備
子	擊
擊	之
鄭師	爲
爲	承
楚師	必
必	敗
彘子	曰
敗	楚
服	鄭
於	此
此	在
在	矣
必	許
許	之
欒武子	曰
楚	自
自	克
克	庸
庸	以來
其	君
君	無
無	日
日	不
不	討
討	國人
國人	而
而	訓
訓	之
之	于
于	民生
民生	之
之	不
不	易
禍	至
至	之
之	無
無	日
戒	懼
懼	之
之	不
不	可以
可以	怠
在	軍
無	日
日	不
不	討
討	軍實
軍實	而
而	申
申	儆
儆	之
之	于
于	勝
勝	之
之	不
不	可
可	保
紂	之
之	百
百	克
克	而
而	卒
卒	無
無	後
訓	之
之	以
以	若敖
蚡冒	篳路
篳路	藍縷
藍縷	以
以	啟
啟	山林
箴	之
之	曰
民生	在
在	勤
勤	則
則	不
不	匱
不	可
可	謂
謂	驕
先大夫子犯	有
有	言
言	曰
師	直
直	爲
爲	壯
曲	爲
爲	老
我	則
則	不
不	德
而	徼
徼	怨
怨	于
于	楚
我	曲
曲	楚
楚	直
不	可
可	謂
謂	老
其	君
君	之
之	戎
戎	分
分	爲
爲	二
二	廣
廣	有
有	一
一	卒
卒	偏
偏	之
之	兩
右廣	初
初	駕
數	及
及	日中
左	則
則	受
受	之
以	至
至	于
于	昏
内官	序
序	當
當	其
其	夜
以	待
待	不
不	虞
不	可
可	謂
謂	無
無	備
鄭	之
之	良
良	也
楚	之
之	崇
崇	也
師叔	入
入	盟
子良	在
在	楚
鄭	親
親	矣
來	勸
勸	我
我	戰
我	克
克	則
則	來
不	克
克	遂
遂	往
以	我
我	卜
卜	也
鄭	不
不	可
可	從
趙同	曰
率	師
師	以
以	來
唯	敵
敵	是
是	求
克	敵
得	屬
又	何
何	俟
必	從
從	彘子
知季	曰
咎	之
之	徒
徒	也
趙莊子	曰
欒伯	善
善	哉
實	其
其	言
必	長
長	晉國
楚	少宰
少宰	如
如	晉師
寡君	少
少	遭
遭	閔凶
不	能
能	文
聞	二
二	先君
先君	之
之	出入
出入	此
此	行
行	也
將	鄭
鄭	是
是	訓定
豈	敢
敢	求罪
求罪	于
于	晉
二三	子
子	無
無	淹
淹	久
隨季	對
對	曰
昔	平王
平王	命
命	我
我	先君文侯
先君文侯	曰
與	鄭
鄭	夾輔
夾輔	周室
毋	廢
廢	王命
今	鄭
鄭	不
不	率
寡君	使
使	羣臣
羣臣	問
問	諸
諸	鄭
豈	敢
敢	辱
辱	候人
敢	拜
拜	君命
君命	之
之	辱
彘子	以
以	爲
爲	諂
使	趙括
趙括	從
從	而
而	更
更	之
之	曰
行人	失辭
寡君	使
使	羣臣
羣臣	遷
遷	大國
大國	之
之	迹
迹	於
於	鄭
無	辟
辟	敵
羣臣	無
無	所
所	逃
逃	命
楚子	又
又	使
使	求成
求成	于
于	晉
晉人	許
許	之
盟	有
有	日
日	矣
楚	許伯
許伯	御
御	樂伯
攝叔	爲
爲	右
以	致
致	晉師
許伯	曰
吾	聞
聞	致
致	師
師	者
御	靡
靡	旌
摩	壘
壘	而
而	還
樂伯	曰
吾	聞
聞	致
致	師
師	者
左	射
射	以
以	菆
代	御
御	執
執	轡
兩	馬
掉	鞅
鞅	而
而	還
攝叔	曰
吾	聞
聞	致
致	師
師	者
右	入
入	壘
折	馘
執	俘
俘	而
而	還
皆	行
行	其
其	所
所	聞
聞	而
而	復
晉人	逐
逐	之
左右	角
角	之
樂伯	左
左	射
射	馬
而	右
右	射
射	人
角	不
不	能
能	進
矢	一
一	而已
麋	興
興	於
於	前
射	麋
麗	龜
晉	鮑癸
鮑癸	當
當	其
其	後
使	攝叔
攝叔	奉
奉	麋
麋	獻
獻	焉
以	歲
歲	之
之	非
非	時
獻	禽
禽	之
之	未
未	至
敢	膳
膳	諸
諸	從
從	者
鮑癸	止
止	之
其	左
左	善
善	射
其	右
右	有
有	辭
君子	也
旣	免
晉	魏錡
魏錡	求
求	公族
公族	未
未	得
而	怒
欲	敗
敗	晉師
請	致
致	師
弗	許
請	使
許	之
遂	往
請	戰
戰	而
而	還
楚	潘黨
潘黨	逐
逐	之
及	熒澤
見	六
六	麋
射	一
一	麋
麋	以
以	顧
顧	獻
子	有
有	軍事
獸人	無乃
無乃	不
不	給
給	於
於	鮮
敢	獻
獻	諸
諸	從
從	者
叔黨	命
命	去
去	之
趙旃	求
求	卿
卿	未
未	得
且	怒
怒	於
於	失
失	楚
楚	之
之	致
致	師
師	者
請	挑戰
弗	許
請	召
召	盟
許	之
與	魏錡
魏錡	皆
皆	命
命	而
而	往
郤獻子	曰
二	憾
憾	往
往	矣
弗	備
必	敗
彘子	曰
鄭人	勸
勸	戰
弗	敢
敢	從
從	也
楚人	求成
弗	能
能	好
好	也
師	無
無	成命
多	備
備	何
何	爲
士季	曰
備	之
之	善
若	二
二	子
子	怒
怒	楚
楚人	乘
乘	我
喪	師
師	無
無	日
日	矣
不	如
如	備
備	之
楚	之
之	無
無	惡
除	備
備	而
而	盟
何	損
損	於
於	好
若	以
以	惡
惡	來
有	備
不	敗
且	雖
雖	諸侯
諸侯	相
相	見
軍衞	不
不	撤
警	也
彘子	不
不	可
士季	使
使	鞏朔
韓穿	帥
帥	七
七	覆
覆	于
于	河
河	前
故	上軍
上軍	不
不	敗
趙	嬰齊
嬰齊	使
使	其
其	徒
徒	先
先	具
具	舟
舟	于
于	河
故	敗
敗	而
而	先
先	濟
潘黨	旣
旣	逐
逐	魏錡
趙旃	夜
夜	至
至	於
於	楚軍
席	於
於	軍門
軍門	之
之	外
使	其
其	徒
徒	入
入	之
楚子	爲
爲	乘
乘	廣
廣	三十
三十	乘
分	爲
爲	左
左	右
右廣	雞
雞	鳴
鳴	而
而	駕
日中	而
而	説
左	則
則	受
受	之
日入	而
而	説
許偃	御
御	右廣
養由基	爲
爲	右
彭名	御
御	左廣
屈蕩	爲
爲	右
王	乘
乘	左廣
左廣	以
以	逐
逐	趙旃
趙旃	棄
棄	車
車	而
而	走
走	林
屈蕩	搏
搏	之
得	其
其	甲裳
晉人	懼
懼	二
二	子
子	之
之	怒
怒	楚師
楚師	也
使	軘車
軘車	逆
逆	之
潘黨	望
望	其
其	塵
使	騁
騁	而
而	告
告	曰
晉師	至
至	矣
楚人	亦
亦	懼
懼	王
王	之
之	入
入	晉軍
晉軍	也
遂	出
出	陳
孫叔	曰
進	之
寧	我
我	薄
薄	人
無	人
人	薄
薄	我
詩	云
元戎	十
十	乘
以	啟
啟	先
先	行
先	人
人	也
軍志	曰
先	人
人	有
有	奪
奪	人
人	之
之	心
薄	之
之	也
遂	疾
疾	進
進	師
車	馳
卒	奔
乘	晉軍
桓子	不
不	知
知	所
所	爲
鼓	於
於	軍中
軍中	曰
先	濟
濟	者
者	有
有	賞
下軍	爭
爭	舟
舟	中
中	之
之	指
指	可
可	掬
掬	也
晉師	右
右	移
上軍	未
未	動
工尹齊	將
將	右
右	拒
拒	卒
卒	以
以	逐
逐	下軍
楚子	使
使	唐狡
唐狡	與
與	蔡鳩居
蔡鳩居	告
告	唐惠侯
唐惠侯	曰
不穀	不
不	德
德	而
而	貪
以	遇
遇	大敵
不穀	之
之	罪
罪	也
然	楚
楚	不
不	克
君	之
之	羞
羞	也
敢	藉
藉	君靈
以	濟
濟	楚師
使	潘黨
潘黨	率
率	游闕
游闕	四十
四十	乘
從	唐侯
唐侯	以
以	爲
爲	左拒
以	從
從	上軍
駒伯	曰
待	諸
諸	乎
隨季	曰
楚師	方
方	壯
若	萃
萃	於
於	我
吾師	必
必	盡
不	如
如	收
收	而
而	去
去	之
分	謗
生	民
不	亦
亦	可
可	乎
殿	其
其	卒
卒	而
而	退
不	敗
王	見
見	右廣
將	從
從	之
之	乘
屈蕩	戶
戶	之
君	以
以	此
此	始
亦	必
必	以
以	終
自	是
是	楚
楚	之
之	乘廣
乘廣	先
先	左
晉人	或
或	以
以	廣
廣	隊
隊	不
不	能
能	進
楚人	惎
惎	之
之	脱
脱	扃
少	進
馬	還
又	惎
惎	之
之	拔
拔	旆
旆	投
投	衡
乃	出
顧	曰
吾	不
不	如
如	大國
大國	之
之	數
數	奔
奔	也
趙旃	以
以	其
其	良馬
良馬	二
二	濟
濟	其
其	兄
兄	與
與	叔父
以	他
他	馬
馬	反
遇	敵
敵	不
不	能
能	去
棄	車
車	而
而	走
走	林
逢大夫	與
與	其
其	二
二	子
子	乘
謂	其
其	二
二	子
子	無
無	顧
顧	曰
趙傁	在
在	後
怒	之
使	下
指	木
木	曰
尸	女
女	於
於	是
授	趙旃
趙旃	綏
以	免
以	表
表	尸
尸	之
皆	重
重	獲
獲	在
在	木
木	下
楚	熊負羈
熊負羈	囚
囚	知罃
知莊子	以
以	其
其	族
族	反
反	之
厨武子	御
下軍	之
之	士
士	多
多	從
從	之
每	射
抽	矢
納	諸
諸	厨子
厨子	之
之	房
厨子	怒
怒	曰
非	子
子	之
之	求
而	蒲
蒲	之
之	愛
董澤	之
之	蒲
可	勝
勝	旣
旣	乎
知季	曰
不	以
以	人
人	子
吾	子
子	其
其	可
可	得
得	乎
吾	不
不	可以
可以	苟
苟	射
射	故
故	也
射	連尹襄老
獲	之
遂	載
載	其
其	尸
射	公子穀臣
囚	之
以	二
二	者
者	還
及	昏
楚師	軍
軍	於
於	邲
晉	之
之	餘
餘	師
師	不
不	能
能	軍
宵	濟
亦	終夜
終夜	有
有	聲
楚	重
重	至
至	於
於	邲
遂	次
次	于
于	衡雍
潘黨	曰
君	盍
盍	築
築	武軍
武軍	而
而	收
收	晉
晉	尸
尸	以
以	爲
爲	京觀
臣	聞
聞	克
克	敵
敵	必
必	示
示	子孫
以	無
無	忘
忘	武功
楚子	曰
非	爾
爾	所
所	知
知	也
夫	文
止	戈
戈	爲
爲	武
武王	克
克	商
作	頌
頌	曰
載	戢
戢	干戈
載	櫜
櫜	弓矢
我	求
求	懿德
肆	于
于	時
時	夏
允	王
王	保
保	之
又	作
作	武
其	卒章
卒章	曰
耆	定
定	爾
爾	功
其	三
三	曰
鋪	時
時	繹
繹	思
我	徂
徂	維
維	求
求	定
其	六
六	曰
綏	萬邦
屢	豐年
夫	武
禁	暴
戢	兵
保	大
定	功
安	民
和	衆
豐	財
財	者
者	也
故	使
使	子孫
子孫	無
無	忘
忘	其
其	章
今	我
我	使
使	二
二	國
國	暴
暴	骨
暴	矣
觀兵	以
以	威
威	諸侯
兵	不
不	戢
戢	矣
暴	而
而	不
不	戢
安	能
能	保
保	大
猶	有
有	晉
晉	在
焉	得
得	定
定	功
所	違
違	民欲
民欲	猶
猶	多
民	何
何	安
安	焉
無	德
德	而
而	强
强	爭
爭	諸侯
何	以
以	和
和	衆
利	人
人	之
之	幾
而	安
安	人
人	之
之	亂
以	爲
爲	己
己	榮
何	以
以	豐
豐	財
武	有
有	七
七	德
我	無
無	一
一	焉
何	以
以	示
示	子孫
其	爲
爲	先君
先君	宫
告	成事
成事	而已
武	非
非	吾
吾	功
功	也
古者	明王
明王	伐
伐	不
不	敬
取	其
其	鯢鯨
鯢鯨	而
而	封
封	之
以	爲
爲	大
大	戮
於是乎	有
有	京觀
京觀	以
以	懲
懲	淫慝
今	罪
罪	無
無	所
而	民
民	皆
皆	盡忠
盡忠	以
以	死
死	君命
又	可以
可以	爲
爲	京觀
京觀	乎
祀	于
于	河
作	先君
先君	宫
告	成事
成事	而
而	還
是	役
役	也
鄭	石制
石制	實
實	入
入	楚師
將	以
以	分
分	鄭
而	立
立	公子魚臣
鄭	殺
殺	僕叔
僕叔	及
及	子服
君子	曰
史佚	所謂
無	怙
怙	亂
謂	是
是	類
類	也
詩	曰
亂	離
離	瘼
瘼	矣
爰	其
其	適
適	歸
歸	於
於	怙
怙	亂
亂	者
者	也
也	夫
許男	如
如	楚
晉師	歸
桓子	請
請	死
晉侯	欲
欲	許
許	之
士貞子	諫
諫	曰
不	可
城濮	之
之	役
晉師	三
三	日
日	穀
文公	猶
猶	有
有	憂色
左右	曰
有	喜
喜	而
而	憂
如	有
有	憂
憂	而
而	喜
喜	乎
公	曰
得臣	猶
猶	在
憂	未
未	歇
歇	也
困	獸
獸	猶
猶	鬬
況	國
國	相
相	乎
及	楚
楚	殺
殺	子玉
公	喜
喜	而後
而後	可
可	知
知	也
莫	余
余	毒
毒	也
也	矣
是	晉
晉	再
再	克
克	而
而	楚
楚	再
再	敗
敗	也
楚	是
是	以
以	再
再	世
世	不
不	競
今	天
天	或者
或者	大
大	警
警	晉
晉	也
而	又
又	殺
殺	林父
林父	以
以	重
重	楚
楚	勝
其	無乃
無乃	久
久	不
不	競
競	乎
林父	之
之	事
事	君
君	也
進	思
思	盡
盡	忠
退	思
思	補
補	過
社稷	之
之	衞
衞	也
若之何	殺
殺	之
夫	其
其	敗
敗	也
如	日月
日月	之
之	食
食	焉
何	損
損	於
於	明
晉侯	使
使	復
復	其
其	位
楚子	伐
伐	蕭
宋	華椒
華椒	以
以	蔡人
蔡人	救
救	蕭
蕭人	囚
囚	熊相宜僚
熊相宜僚	及
及	公子丙
王	曰
勿	殺
吾	退
蕭人	殺
殺	之
王	怒
遂	圍
圍	蕭
蕭	潰
申公巫臣	曰
師人	多
多	寒
王	巡
巡	三軍
拊	而
而	勉
勉	之
三軍	之
之	士
士	皆
皆	如
如	挾纊
遂	傅
傅	於
於	蕭
還無社	與
與	司馬卬
司馬卬	言
號	申叔展
叔展	曰
有	麥麴
麥麴	乎
有	山鞠窮
山鞠窮	乎
河魚	腹疾
腹疾	奈何
目	於
於	眢井
眢井	而
而	拯
拯	之
若	爲
爲	茅絰
哭	井
井	則
則	己
蕭	潰
申叔	視
視	其
其	井
則	茅絰
茅絰	存
存	焉
號	而
而	出
出	之
晉	原縠
宋	華椒
衞	孔達
曹人	同盟
同盟	于
于	清丘
恤	病
討	貳
於	是
是	卿
卿	不
不	書
不	實
實	其
其	言
言	也
宋	爲
爲	盟
盟	故
伐	陳
衞人	救
救	之
孔達	曰
先君	有
有	約言
約言	焉
若	大國
大國	討
我	則
則	死
死	之
十三年	春
齊師	伐
伐	莒
莒	恃
恃	晉
晉	而
而	不
不	事
事	齊
齊	故
故	也
楚子	伐
伐	宋
以	其
其	救
救	蕭
蕭	也
君子	曰
清丘	之
之	盟
唯	宋
宋	可以
可以	免
免	焉
赤狄	伐
伐	晉
及	清
先縠	召
召	之
之	也
晉人	討
討	邲
邲	之
之	敗
敗	與
與	清
清	之
之	師
歸罪	於
於	先縠
先縠	而
而	殺
殺	之
盡	滅
滅	其
其	族
君子	曰
惡	之
之	來
來	也
己	則
則	取
取	之
其	先縠
先縠	之謂
之謂	乎
清丘	之
之	盟
晉	以
以	衞
衞	之
之	救
救	陳
陳	也
討	焉
使	人
人	弗
弗	去
罪	無
無	所
所	歸
將	加
加	而
而	師
孔達	曰
苟	利
利	社稷
請	以
以	我
我	説
罪	我
我	之
之	由
我	則
則	爲政
而	亢
亢	大國
大國	之
之	討
將	以
以	誰
誰	任
我	則
則	死
死	之
十有四年	春
孔達	縊
縊	而
而	死
衞人	以
以	説
説	于
于	晉
晉	而
而	免
遂	告
告	于
于	諸侯
諸侯	曰
寡君	有
有	不令
不令	之
之	臣
臣	達
構	我
我	敝邑
敝邑	于
于	大國
旣	伏
伏	其
其	罪
罪	矣
敢	告
衞人	以
以	爲
爲	成
成	勞
復	室
室	其
其	子
使	復
復	其
其	位
晉侯	伐
伐	鄭
爲	邲
邲	故
故	也
告	於
於	諸侯
蒐	焉
焉	而
而	還
中行桓子	之
之	謀
謀	也
示	之
之	以
以	整
使	謀
謀	而
而	來
鄭人	懼
使	子張
子張	代
代	子良
子良	于
于	楚
鄭伯	如
如	楚
謀	晉
晉	故
故	也
鄭	以
以	子良
子良	爲
爲	有
有	禮
故	召
召	之
楚子	使
使	申舟
申舟	聘
聘	于
于	齊
無	假道
假道	于
于	宋
亦	使
使	公子馮
公子馮	聘
聘	于
于	晉
不	假道
假道	于
于	鄭
申舟	以
以	孟諸
孟諸	之
之	役
役	惡
惡	宋
鄭	昭
宋	聾
晉	使
使	不
不	害
我	則
則	必
必	死
王	曰
殺	女
我	伐
伐	之
見	犀
犀	而
而	行
及	宋
宋人	止
止	之
華元	曰
過	我
我	而
而	不
不	假道
鄙	我
我	也
鄙	我
亡	也
殺	其
其	使者
必	伐
伐	我
伐	我
亦	亡
亡	也
亡	一
一	也
乃	殺
殺	之
楚子	聞
聞	之
投	袂
袂	而
而	起
屨	及
及	於
於	窒皇
劍	及
及	於
於	寢門
寢門	之
之	外
車	及
及	于
于	蒲胥
蒲胥	之
之	市
秋	九月
楚子	圍
圍	宋
公孫歸父	會
會	齊侯
齊侯	于
于	穀
見	晏桓子
與	之
之	言
言	魯
桓子	告
告	高宣子
高宣子	曰
子家	其
其	亡
亡	乎
懷	於
於	魯
魯	矣
懷	必
必	貪
貪	必
必	謀
謀	人
謀	人
人	亦
亦	謀
謀	己
一	國
國	謀
謀	之
何	以
以	不
不	亡
孟獻子	言
言	於
於	公
公	曰
臣	聞
聞	小國
小國	之
之	免
免	於
於	大國
大國	也
聘	而
而	獻
獻	物
於是	有
有	庭
庭	實
實	旅
旅	百
朝	而
而	獻
獻	功
於是	有
有	容貌
容貌	采章
嘉淑	而
而	有
有	加
加	貨
謀	其
其	不
不	免
免	也
誅	而
而	薦
薦	賄
則	無
無	及
及	也
今	楚
楚	在
在	宋
君	其
其	圖
圖	之
公	説
十五年	春
公孫歸父	會
會	楚子
楚子	于
于	宋
宋人	使
使	樂嬰齊
樂嬰齊	告急
告急	于
于	晉
晉侯	欲
欲	救
救	之
伯宗	曰
不	可
古人	有
有	言
言	曰
雖	鞭
鞭	之
之	長
不	及
及	馬
馬	腹
天	方
方	授
授	楚
未	可
可	與
與	爭
雖	晉
晉	之
之	强
能	違
違	天
天	乎
諺	曰
高下	在
在	心
川澤	納
納	污
山藪	藏
藏	疾
瑾瑜	匿
匿	瑕
國君	含
含	垢
天	之
之	道
道	也
君	其
其	待
待	之
乃	止
使	解揚
解揚	如
如	宋
使	無
無	降
降	楚
晉師	悉
悉	起
將	至
至	矣
鄭人	囚
囚	而
而	獻
獻	諸
諸	楚
楚子	厚
厚	賂
賂	之
使	反
反	其
其	言
不	許
三	而
而	許
許	之
登	諸
諸	樓車
使	呼
呼	宋人
宋人	而
而	告
告	之
遂	致
致	其
其	君命
楚子	將
將	殺
殺	之
使	與
與	之
之	言
言	曰
爾	旣
旣	許
許	不穀
而	反
反	之
何	故
非	我
我	無
無	信
女	則
則	棄
棄	之
速	卽
卽	爾
爾	刑
對	曰
臣	聞
聞	之
君	能
能	制
制	命
命	爲
爲	義
臣	能
能	承
承	命
命	爲
爲	信
信	載
載	義
義	而
而	行
行	之
之	爲
爲	利
謀	不
不	失
失	利
以	衞
衞	社稷
民	之
之	主
主	也
義	無
無	二
二	信
信	無
無	二
二	命
君	之
之	賂
賂	臣
不	知
知	命
命	也
受命	而
而	出
有	死
死	無
無	霣
又	可
可	賂
賂	乎
臣	之
之	許
許	君
以	成
成	命
命	也
死	而
而	成
成	命
臣	之
之	祿
祿	也
寡君	有
有	信
信	臣
下臣	獲
獲	考死
又	何
何	求
楚子	舍
舍	之
之	以
以	歸
楚師	將
將	去
去	宋
申犀	稽首
稽首	於
於	王
王	之
之	馬
馬	前
前	曰
毋	畏
畏	知
知	死
死	而
而	不
不	敢
敢	廢
廢	王命
王	棄
棄	言
言	焉
王	不
不	能
能	答
申叔時	僕
築	室
反	耕
耕	者
宋	必
必	聽命
從	之
宋人	懼
使	華元
華元	夜
夜	入
入	楚師
登	子反
子反	之
之	牀
起	之
寡君	使
使	元
元	以
以	病
病	告
敝邑	易
易	子
子	而
而	食
析	骸
骸	以
以	爨
雖	然
城下	之
之	盟
有	以
以	國
國	斃
不	能
能	從
從	也
去	我
我	三十
三十	里
唯	命
命	是
是	聽
子反	懼
與	之
之	盟
而	告
告	王
退	三十
三十	里
宋	及
及	楚
楚	平
華元	爲
爲	質
盟	曰
我	無
無	爾
爾	詐
爾	無
無	我
我	虞
潞子	嬰兒
嬰兒	之
之	夫人
晉景公	之
之	姊
姊	也
酆舒	爲
爲	政
政	而
而	殺
殺	之
又	傷
傷	潞子
潞子	之
之	目
晉侯	將
將	伐
伐	之
諸	大夫
大夫	皆
皆	曰
不	可
酆舒	有
有	三
三	儁
儁	才
不	如
如	待
待	後
後	之
之	人
伯宗	曰
必	伐
伐	之
狄	有
有	五
五	罪
儁	才
才	雖
雖	多
何	補
補	焉
不	祀
一	也
耆	酒
二	也
棄	仲章
仲章	而
而	奪
奪	黎氏
黎氏	地
三	也
虐	我
我	伯姬
四	也
傷	其
其	君
君	目
五	也
怙	其
其	儁
儁	才
而	不
不	以
以	茂德
茲	益
益	罪
罪	也
後	之
之	人
人	或者
或者	將
將	敬奉
敬奉	德義
德義	以
以	事
事	神人
而	申固
申固	其
其	命
若之何	待
待	之
不	討
討	有
有	罪
將	待
待	後
後	有
有	辭
辭	而
而	討
討	焉
毋乃	不
不	可
可	乎
夫	恃
恃	才
才	與
與	衆
亡	之
之	道
道	也
商紂	由
由	之
故	滅
天	反
反	時
時	爲
爲	災
地	反
反	物
物	爲
爲	妖
民	反
反	德
德	爲
爲	亂
亂	則
則	妖
妖	災
災	生
故	文
反	正
正	爲
爲	乏
盡	在
在	狄
狄	矣
晉侯	從
從	之
六月	癸卯
晉	荀林父
荀林父	敗
敗	赤狄
赤狄	于
于	曲梁
滅	潞
酆舒	奔
奔	衞
衞人	歸
歸	諸
諸	晉
晉人	殺
殺	之
王孫蘇	與
與	召氏
毛氏	爭
爭	政
使	王子捷
王子捷	殺
殺	召戴公
召戴公	及
及	毛伯衞
卒	立
立	召襄
秋	七月
秦桓公	伐
伐	晉
次	于
于	輔氏
晉侯	治兵
治兵	于
于	稷
以	略
略	狄
狄	土
立	黎侯
黎侯	而
而	還
及	雒
魏顆	敗
敗	秦師
秦師	于
于	輔氏
獲	杜回
秦	之
之	力人
力人	也
魏武子	有
有	嬖妾
無	子
武子	疾
命	顆
顆	曰
必	嫁
嫁	是
則	曰
必	以
以	爲
爲	殉
及	卒
顆	嫁
嫁	之
疾病	則
則	亂
吾	從
從	其
其	治
治	也
及	輔氏
輔氏	之
之	役
顆	見
見	老人
老人	結草
結草	以
以	亢
亢	杜回
杜回	躓
躓	而
而	顛
故	獲
獲	之
夜	夢
夢	之
之	曰
而	所
所	嫁
嫁	婦人
婦人	之
之	父
父	也
爾	用
用	先人
先人	之
之	治
治	命
余	是
是	以
以	報
晉侯	賞
賞	桓子
桓子	狄
狄	臣
臣	千
千	室
亦	賞
賞	士伯
士伯	以
以	瓜衍
瓜衍	之
之	縣
吾	獲
獲	狄
狄	土
子	之
之	功
功	也
微	子
吾	喪
喪	伯氏
伯氏	矣
羊舌職	説
説	是
是	賞
賞	也
周書	所謂
庸	庸
庸	祗
祗	祗
謂	此
此	物
物	也
也	夫
士伯	庸
庸	中行伯
君	信
信	之
亦	庸
庸	士伯
此	之
之	謂
謂	明德
明德	矣
文王	所以
所以	造
造	周
不	是
是	過
過	也
故	詩
詩	曰
陳	錫
錫	哉
哉	周
能	施
施	也
率	是
是	道
道	也
其	何
何	不
不	濟
晉侯	使
使	趙同
趙同	獻
獻	狄
狄	俘
俘	于
于	周
不	敬
劉康公	曰
不	及
及	十
十	年
原叔	必
必	有
有	大
大	咎
天	奪
奪	之
之	魄
魄	矣
初	稅
稅	畝
非	禮
禮	也
穀	出
出	不
不	過
過	藉
以	豐
豐	財
財	也
蝝	生
幸	之
之	也
十六年	春
晉	士會
士會	帥
帥	師
師	滅
滅	赤狄
赤狄	甲氏
甲氏	及
及	留吁
留吁	鐸辰
獻	狄
狄	俘
晉侯	請
請	于
于	王
以	黻
黻	冕
冕	命
命	士會
士會	將
將	中軍
且	爲
爲	大傅
於	是
是	晉國
晉國	之
之	盗
盗	逃奔
逃奔	于
于	秦
羊舌職	曰
吾	聞
聞	之
禹	稱
稱	善
善	人
不	善
善	人
人	遠
